Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [Tribolium castaneum],Tribolium castaneum,168,315,40%,3e-42,31.74,892,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_971279.1?report=genbank&log$=prottop&blast_rank=21&RID=J5Y218Y0016"",""XP_971279.1"")"
putative ATP-dependent RNA helicase kurz-like Protein [Tribolium castaneum],Tribolium castaneum,152,193,29%,1e-38,29.94,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYB28331.1?report=genbank&log$=prottop&blast_rank=22&RID=J5Y218Y0016"",""KYB28331.1"")"
ATP-dependent RNA helicase DHX33 [Tribolium castaneum],Tribolium castaneum,132,249,44%,4e-31,39.34,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008194357.1?report=genbank&log$=prottop&blast_rank=23&RID=J5Y218Y0016"",""XP_008194357.1"")"
Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-like Protein [Tribolium castaneum],Tribolium castaneum,124,124,11%,7e-29,45.45,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYB28330.1?report=genbank&log$=prottop&blast_rank=24&RID=J5Y218Y0016"",""KYB28330.1"")"



		


